Exposure,Trim,Model,Effect,CI
Distance to commercial firearms retailer,"[0.252, 26.9]",GPS Matching (CRSE),0.8876,"[0.8465, 0.9306]"
Distance to commercial firearms retailer,"[0.252, 26.9]",GPS Matching (GEE),0.8912,"[0.8708, 0.912]"
Distance to commercial firearms retailer,"[0.252, 26.9]",GPS Weighting,0.9252,"[0.9188, 0.9318]"
Distance to commercial firearms retailer,"[0.252, 26.9]",Logistic,0.9227,"[0.8961, 0.95]"
Distance to commercial firearms retailer,"[0.252, 26.9]",Negative Binomial,0.9238,"[0.8976, 0.9508]"
Distance to commercial firearms retailer,"[0.471, 12.6]",GPS Matching (CRSE),0.8635,"[0.8305, 0.8979]"
Distance to commercial firearms retailer,"[0.471, 12.6]",GPS Matching (GEE),0.89,"[0.8649, 0.9157]"
Distance to commercial firearms retailer,"[0.471, 12.6]",GPS Weighting,0.8312,"[0.8133, 0.8495]"
Distance to commercial firearms retailer,"[0.471, 12.6]",Logistic,0.925,"[0.8922, 0.9591]"
Distance to commercial firearms retailer,"[0.471, 12.6]",Negative Binomial,0.9266,"[0.8942, 0.9602]"
Distance to any firearms retailer,"[0.197, 12.7]",GPS Matching (CRSE),0.894,"[0.838, 0.9539]"
Distance to any firearms retailer,"[0.197, 12.7]",GPS Matching (GEE),0.9195,"[0.8865, 0.9536]"
Distance to any firearms retailer,"[0.197, 12.7]",GPS Weighting,0.9225,"[0.9076, 0.9376]"
Distance to any firearms retailer,"[0.197, 12.7]",Logistic,0.9364,"[0.892, 0.9829]"
Distance to any firearms retailer,"[0.197, 12.7]",Negative Binomial,0.9372,"[0.8937, 0.9829]"
Distance to any firearms retailer,"[0.368, 5.95]",GPS Matching (CRSE),0.9036,"[0.8354, 0.9775]"
Distance to any firearms retailer,"[0.368, 5.95]",GPS Matching (GEE),0.9279,"[0.881, 0.9774]"
Distance to any firearms retailer,"[0.368, 5.95]",GPS Weighting,0.89,"[0.8548, 0.9266]"
Distance to any firearms retailer,"[0.368, 5.95]",Logistic,0.9222,"[0.8639, 0.9845]"
Distance to any firearms retailer,"[0.368, 5.95]",Negative Binomial,0.9242,"[0.8671, 0.985]"
